Time (s),Position (m)
0.000000,0.000000
0.010000,0.199510
0.020000,0.398039
0.030000,0.595587
0.040000,0.792155
0.050000,0.987742
0.060000,1.182348
0.070000,1.375974
0.080000,1.568619
0.090000,1.760283
0.100000,1.950967
0.110000,2.140670
0.120000,2.329392
0.130000,2.517134
0.140000,2.703895
0.150000,2.889675
0.160000,3.074475
0.170000,3.258294
0.180000,3.441132
0.190000,3.622990
0.200000,3.803867
0.210000,3.983763
0.220000,4.162679
0.230000,4.340614
0.240000,4.517568
0.250000,4.693542
0.260000,4.868535
0.270000,5.042548
0.280000,5.215579
0.290000,5.387630
0.300000,5.558701
0.310000,5.728790
0.320000,5.897900
0.330000,6.066028
0.340000,6.233176
0.350000,6.399343
0.360000,6.564529
0.370000,6.728735
0.380000,6.891960
0.390000,7.054204
0.400000,7.215468
0.410000,7.375751
0.420000,7.535053
0.430000,7.693375
0.440000,7.850716
0.450000,8.007077
0.460000,8.162456
0.470000,8.316856
0.480000,8.470274
0.490000,8.622712
0.500000,8.774169
0.510000,8.924645
0.520000,9.074141
0.530000,9.222656
0.540000,9.370190
0.550000,9.516744
0.560000,9.662317
0.570000,9.806910
0.580000,9.950521
0.590000,10.093153
0.600000,10.234803
0.610000,10.375473
0.620000,10.515162
0.630000,10.653870
0.640000,10.791598
0.650000,10.928345
0.660000,11.064112
0.670000,11.198897
0.680000,11.332703
0.690000,11.465527
0.700000,11.597371
0.710000,11.728234
0.720000,11.858116
0.730000,11.987018
0.740000,12.114939
0.750000,12.241880
0.760000,12.367839
0.770000,12.492819
0.780000,12.616817
0.790000,12.739835
0.800000,12.861872
0.810000,12.982928
0.820000,13.103004
0.830000,13.222099
0.840000,13.340214
0.850000,13.457348
0.860000,13.573501
0.870000,13.688673
0.880000,13.802865
0.890000,13.916076
0.900000,14.028307
0.910000,14.139557
0.920000,14.249826
0.930000,14.359114
0.940000,14.467422
0.950000,14.574749
0.960000,14.681096
0.970000,14.786462
0.980000,14.890847
0.990000,14.994251
1.000000,15.096675
1.010000,15.198118
1.020000,15.298581
1.030000,15.398063
1.040000,15.496564
1.050000,15.594084
1.060000,15.690624
1.070000,15.786183
1.080000,15.880762
1.090000,15.974360
1.100000,16.066977
1.110000,16.158613
1.120000,16.249269
1.130000,16.338944
1.140000,16.427639
1.150000,16.515353
1.160000,16.602086
1.170000,16.687838
1.180000,16.772610
