Time (s),Position (m)
0.000000,0.000000
0.010000,0.198761
0.020000,0.395042
0.030000,0.588844
0.040000,0.780168
0.050000,0.969013
0.060000,1.155378
0.070000,1.339265
0.080000,1.520672
0.090000,1.699600
0.100000,1.876050
0.110000,2.050020
0.120000,2.221512
0.130000,2.390524
0.140000,2.557058
0.150000,2.721113
0.160000,2.882688
0.170000,3.041785
0.180000,3.198402
0.190000,3.352541
0.200000,3.504200
0.210000,3.653381
0.220000,3.800082
0.230000,3.944305
0.240000,4.086048
0.250000,4.225313
0.260000,4.362098
0.270000,4.496405
0.280000,4.628232
0.290000,4.757581
0.300000,4.884450
0.310000,5.008841
0.320000,5.130752
0.330000,5.250185
0.340000,5.367138
0.350000,5.481613
0.360000,5.593608
0.370000,5.703125
0.380000,5.810162
0.390000,5.914721
0.400000,6.016800
0.410000,6.116401
0.420000,6.213522
0.430000,6.308165
0.440000,6.400328
0.450000,6.490013
0.460000,6.577218
0.470000,6.661945
0.480000,6.744192
0.490000,6.823961
0.500000,6.901250
0.510000,6.976061
0.520000,7.048392
0.530000,7.118245
0.540000,7.185618
0.550000,7.250513
0.560000,7.312928
0.570000,7.372865
0.580000,7.430322
0.590000,7.485301
0.600000,7.537800
0.610000,7.587821
0.620000,7.635362
0.630000,7.680425
0.640000,7.723008
0.650000,7.763113
0.660000,7.800738
0.670000,7.835885
0.680000,7.868552
0.690000,7.898741
0.700000,7.926450
0.710000,7.951681
0.720000,7.974432
0.730000,7.994705
0.740000,8.012498
0.750000,8.027812
0.760000,8.040648
0.770000,8.051005
0.780000,8.058882
0.790000,8.064281
0.800000,8.067200
0.810000,8.067640
0.820000,8.065602
0.830000,8.061084
0.840000,8.054088
0.850000,8.044612
0.860000,8.032658
0.870000,8.018225
0.880000,8.001312
0.890000,7.981920
0.900000,7.960050
0.910000,7.935700
0.920000,7.908872
0.930000,7.879564
0.940000,7.847778
0.950000,7.813512
0.960000,7.776768
0.970000,7.737544
0.980000,7.695842
0.990000,7.651660
1.000000,7.605000
1.010000,7.555860
1.020000,7.504242
1.030000,7.450144
1.040000,7.393568
1.050000,7.334512
1.060000,7.272978
1.070000,7.208964
1.080000,7.142472
1.090000,7.073500
1.100000,7.002050
1.110000,6.928120
1.120000,6.851712
1.130000,6.772824
1.140000,6.691458
1.150000,6.607612
1.160000,6.521288
1.170000,6.432484
1.180000,6.341202
1.190000,6.247440
1.200000,6.151200
1.210000,6.052480
1.220000,5.951282
1.230000,5.847604
1.240000,5.741448
1.250000,5.632812
1.260000,5.521698
1.270000,5.408104
1.280000,5.292032
1.290000,5.173480
1.300000,5.052450
1.310000,4.928940
1.320000,4.802952
1.330000,4.674484
1.340000,4.543538
1.350000,4.410112
1.360000,4.274208
1.370000,4.135824
1.380000,3.994962
1.390000,3.851620
1.400000,3.705800
1.410000,3.557500
1.420000,3.406722
1.430000,3.253464
1.440000,3.097728
1.450000,2.939512
1.460000,2.778818
1.470000,2.615644
1.480000,2.449992
1.490000,2.281860
1.500000,2.111250
1.510000,1.938160
1.520000,1.762592
1.530000,1.584544
1.540000,1.404018
1.550000,1.221012
1.560000,1.035528
1.570000,0.847564
1.580000,0.657122
1.590000,0.464200
1.600000,0.268800
1.610000,0.070920
1.620000,0.000000
