Time (s),Position (m)
0.000000,0.000000
0.010000,0.199815
0.020000,0.399258
0.030000,0.598330
0.040000,0.797032
0.050000,0.995363
0.060000,1.193322
0.070000,1.390911
0.080000,1.588128
0.090000,1.784974
0.100000,1.981450
0.110000,2.177554
0.120000,2.373288
0.130000,2.568650
0.140000,2.763642
0.150000,2.958263
0.160000,3.152512
0.170000,3.346391
0.180000,3.539898
0.190000,3.733035
0.200000,3.925800
0.210000,4.118195
0.220000,4.310218
0.230000,4.501871
0.240000,4.693152
0.250000,4.884063
0.260000,5.074602
0.270000,5.264771
0.280000,5.454568
0.290000,5.643995
0.300000,5.833050
0.310000,6.021735
0.320000,6.210048
0.330000,6.397991
0.340000,6.585562
0.350000,6.772763
0.360000,6.959592
0.370000,7.146051
0.380000,7.332138
0.390000,7.517855
0.400000,7.703200
0.410000,7.888175
0.420000,8.072778
0.430000,8.257011
0.440000,8.440872
0.450000,8.624363
0.460000,8.807482
0.470000,8.990231
0.480000,9.172608
0.490000,9.354615
0.500000,9.536250
0.510000,9.717515
0.520000,9.898408
0.530000,10.078931
0.540000,10.259082
0.550000,10.438863
0.560000,10.618272
0.570000,10.797311
0.580000,10.975978
0.590000,11.154275
0.600000,11.332200
0.610000,11.509755
0.620000,11.686938
0.630000,11.863751
0.640000,12.040192
0.650000,12.216263
0.660000,12.391962
0.670000,12.567291
0.680000,12.742248
0.690000,12.916835
0.700000,13.091050
0.710000,13.264895
0.720000,13.438368
0.730000,13.611471
0.740000,13.784202
0.750000,13.956563
0.760000,14.128552
0.770000,14.300171
0.780000,14.471418
0.790000,14.642295
0.800000,14.812800
0.810000,14.982935
0.820000,15.152698
0.830000,15.322091
0.840000,15.491112
0.850000,15.659763
0.860000,15.828042
0.870000,15.995951
0.880000,16.163488
0.890000,16.330655
0.900000,16.497450
0.910000,16.663875
0.920000,16.829928
0.930000,16.995611
0.940000,17.160922
0.950000,17.325863
0.960000,17.490432
0.970000,17.654631
0.980000,17.818458
0.990000,17.981915
1.000000,18.145000
1.010000,18.307715
1.020000,18.470058
1.030000,18.632031
1.040000,18.793632
1.050000,18.954863
1.060000,19.115722
1.070000,19.276211
1.080000,19.436328
1.090000,19.596075
1.100000,19.755450
1.110000,19.914455
1.120000,20.073088
1.130000,20.231351
1.140000,20.389242
1.150000,20.546763
1.160000,20.703912
1.170000,20.860691
1.180000,21.017098
1.190000,21.173135
1.200000,21.328800
1.210000,21.484095
1.220000,21.639018
1.230000,21.793571
1.240000,21.947752
1.250000,22.101563
1.260000,22.255002
1.270000,22.408071
1.280000,22.560768
1.290000,22.713095
1.300000,22.865050
1.310000,23.016635
1.320000,23.167848
1.330000,23.318691
1.340000,23.469162
1.350000,23.619263
1.360000,23.768992
1.370000,23.918351
1.380000,24.067338
1.390000,24.215955
1.400000,24.364200
1.410000,24.512075
1.420000,24.659578
1.430000,24.806711
1.440000,24.953472
1.450000,25.099863
1.460000,25.245882
1.470000,25.391531
1.480000,25.536808
1.490000,25.681715
1.500000,25.826250
1.510000,25.970415
1.520000,26.114208
1.530000,26.257631
1.540000,26.400682
1.550000,26.543363
1.560000,26.685672
1.570000,26.827611
1.580000,26.969178
1.590000,27.110375
1.600000,27.251200
1.610000,27.391655
1.620000,27.531738
1.630000,27.671451
1.640000,27.810792
1.650000,27.949763
1.660000,28.088362
1.670000,28.226591
1.680000,28.364448
1.690000,28.501935
1.700000,28.639050
1.710000,28.775795
1.720000,28.912168
1.730000,29.048171
1.740000,29.183802
1.750000,29.319063
1.760000,29.453952
1.770000,29.588471
1.780000,29.722618
1.790000,29.856395
1.800000,29.989800
1.810000,30.122835
1.820000,30.255498
1.830000,30.387791
1.840000,30.519712
1.850000,30.651263
1.860000,30.782442
1.870000,30.913251
1.880000,31.043688
1.890000,31.173755
1.900000,31.303450
1.910000,31.432775
1.920000,31.561728
1.930000,31.690311
1.940000,31.818522
1.950000,31.946363
1.960000,32.073832
1.970000,32.200931
1.980000,32.327658
1.990000,32.454015
2.000000,32.580000
2.010000,32.705615
2.020000,32.830858
2.030000,32.955731
2.040000,33.080232
2.050000,33.204363
2.060000,33.328122
2.070000,33.451510
2.080000,33.574528
2.090000,33.697174
2.100000,33.819450
2.110000,33.941354
2.120000,34.062888
2.130000,34.184050
2.140000,34.304842
2.150000,34.425262
2.160000,34.545312
2.170000,34.664990
2.180000,34.784298
2.190000,34.903234
2.200000,35.021800
