Time (s),Position (m)
0.000000,0.000000
0.010000,0.199919
0.020000,0.399676
0.030000,0.599271
0.040000,0.798704
0.050000,0.997975
0.060000,1.197084
0.070000,1.396031
0.080000,1.594816
0.090000,1.793439
0.100000,1.991900
0.110000,2.190199
0.120000,2.388336
0.130000,2.586311
0.140000,2.784124
0.150000,2.981775
0.160000,3.179264
0.170000,3.376591
0.180000,3.573756
0.190000,3.770759
0.200000,3.967600
0.210000,4.164279
0.220000,4.360796
0.230000,4.557151
0.240000,4.753344
0.250000,4.949375
0.260000,5.145244
0.270000,5.340951
0.280000,5.536496
0.290000,5.731879
0.300000,5.927100
0.310000,6.122159
0.320000,6.317056
0.330000,6.511791
0.340000,6.706364
0.350000,6.900775
0.360000,7.095024
0.370000,7.289111
0.380000,7.483036
0.390000,7.676799
0.400000,7.870400
0.410000,8.063839
0.420000,8.257116
0.430000,8.450231
0.440000,8.643184
0.450000,8.835975
0.460000,9.028604
0.470000,9.221071
0.480000,9.413376
0.490000,9.605519
0.500000,9.797500
0.510000,9.989319
0.520000,10.180976
0.530000,10.372471
0.540000,10.563804
0.550000,10.754975
0.560000,10.945984
0.570000,11.136831
0.580000,11.327516
0.590000,11.518039
0.600000,11.708400
0.610000,11.898599
0.620000,12.088636
0.630000,12.278511
0.640000,12.468224
0.650000,12.657775
0.660000,12.847164
0.670000,13.036391
0.680000,13.225456
0.690000,13.414359
0.700000,13.603100
0.710000,13.791679
0.720000,13.980096
0.730000,14.168351
0.740000,14.356444
0.750000,14.544375
0.760000,14.732144
0.770000,14.919751
0.780000,15.107196
0.790000,15.294479
0.800000,15.481600
0.810000,15.668559
0.820000,15.855356
0.830000,16.041991
0.840000,16.228464
0.850000,16.414775
0.860000,16.600924
0.870000,16.786911
0.880000,16.972736
0.890000,17.158399
0.900000,17.343900
0.910000,17.529239
0.920000,17.714416
0.930000,17.899431
0.940000,18.084284
0.950000,18.268975
0.960000,18.453504
0.970000,18.637871
0.980000,18.822076
0.990000,19.006119
1.000000,19.190000
1.010000,19.373719
1.020000,19.557276
1.030000,19.740671
1.040000,19.923904
1.050000,20.106975
1.060000,20.289884
1.070000,20.472631
1.080000,20.655216
1.090000,20.837639
1.100000,21.019900
1.110000,21.201999
1.120000,21.383936
1.130000,21.565711
1.140000,21.747324
1.150000,21.928775
1.160000,22.110064
1.170000,22.291191
1.180000,22.472156
1.190000,22.652959
1.200000,22.833600
1.210000,23.014079
1.220000,23.194396
1.230000,23.374551
1.240000,23.554544
1.250000,23.734375
1.260000,23.914044
1.270000,24.093551
1.280000,24.272896
1.290000,24.452079
1.300000,24.631100
1.310000,24.809959
