Time (s),Position (m)
0.000000,0.000000
0.010000,0.199443
0.020000,0.397770
0.030000,0.594982
0.040000,0.791080
0.050000,0.986062
0.060000,1.179930
0.070000,1.372683
0.080000,1.564320
0.090000,1.754842
0.100000,1.944250
0.110000,2.132542
0.120000,2.319720
0.130000,2.505782
0.140000,2.690730
0.150000,2.874563
0.160000,3.057280
0.170000,3.238883
0.180000,3.419370
0.190000,3.598743
0.200000,3.777000
0.210000,3.954143
0.220000,4.130170
0.230000,4.305083
0.240000,4.478880
0.250000,4.651563
0.260000,4.823130
0.270000,4.993583
0.280000,5.162920
0.290000,5.331143
0.300000,5.498250
0.310000,5.664243
0.320000,5.829120
0.330000,5.992883
0.340000,6.155530
0.350000,6.317063
0.360000,6.477480
0.370000,6.636783
0.380000,6.794970
0.390000,6.952043
0.400000,7.108000
0.410000,7.262843
0.420000,7.416570
0.430000,7.569183
0.440000,7.720680
0.450000,7.871063
0.460000,8.020330
0.470000,8.168483
0.480000,8.315520
0.490000,8.461443
0.500000,8.606250
0.510000,8.749943
0.520000,8.892520
0.530000,9.033983
0.540000,9.174330
0.550000,9.313563
0.560000,9.451680
0.570000,9.588683
0.580000,9.724570
0.590000,9.859343
0.600000,9.993000
0.610000,10.125543
0.620000,10.256970
0.630000,10.387283
0.640000,10.516480
0.650000,10.644563
0.660000,10.771530
0.670000,10.897383
0.680000,11.022120
0.690000,11.145743
0.700000,11.268250
0.710000,11.389643
0.720000,11.509920
0.730000,11.629083
0.740000,11.747130
0.750000,11.864063
0.760000,11.979880
0.770000,12.094583
0.780000,12.208170
0.790000,12.320643
0.800000,12.432000
0.810000,12.542243
0.820000,12.651370
0.830000,12.759383
0.840000,12.866280
0.850000,12.972063
0.860000,13.076730
0.870000,13.180283
0.880000,13.282720
0.890000,13.384043
0.900000,13.484250
0.910000,13.583343
0.920000,13.681320
0.930000,13.778183
0.940000,13.873930
0.950000,13.968563
0.960000,14.062080
0.970000,14.154483
0.980000,14.245770
0.990000,14.335943
1.000000,14.425000
1.010000,14.512943
1.020000,14.599770
1.030000,14.685483
1.040000,14.770080
1.050000,14.853563
1.060000,14.935930
1.070000,15.017183
1.080000,15.097320
1.090000,15.176343
1.100000,15.254250
1.110000,15.331043
1.120000,15.406720
1.130000,15.481283
1.140000,15.554730
1.150000,15.627063
1.160000,15.698280
1.170000,15.768383
1.180000,15.837370
1.190000,15.905243
1.200000,15.972000
1.210000,16.037643
1.220000,16.102170
1.230000,16.165583
1.240000,16.227880
1.250000,16.289063
